 # FREQUENCY_MHZ      FFTREAL      FFTIMAG     EFFT
  3.05116275   5.74870847  -3.39204456   0.45387756
  3.12558135   5.66277538  -3.49880528   0.45387756
  3.19999995   5.45652485  -3.68049936   0.45387756
  3.27441856   5.12938004  -3.72930757   0.45387756
  3.34883716   4.86593730  -3.60289032   0.45387756
  3.42325576   4.76368104  -3.41731648   0.45387756
  3.49767437   4.81668558  -3.30037991   0.45387756
  3.57209297   4.91455782  -3.36030857   0.45387756
  3.64651157   4.87329932  -3.53761281   0.45387756
  3.72093018   4.70690281  -3.62540935   0.45387756
  3.79534878   4.61298334  -3.62875693   0.45387756
  3.86976738   4.55875200  -3.73877779   0.45387756
  3.94418599   4.33684169  -3.88571165   0.45387756
  4.01860459   4.03330619  -3.83124277   0.45387756
  4.09302319   3.90886396  -3.64880697   0.45387756
  4.16744180   3.91630441  -3.60005422   0.45387756
  4.24186040   3.80468631  -3.65984438   0.45387756
  4.31627901   3.58085741  -3.58089286   0.45387756
  4.39069761   3.49874581  -3.34043626   0.45387756
  4.46511621   3.62875486  -3.19118126   0.45387756
  4.53953482   3.74717939  -3.25302774   0.45387756
  4.61395342   3.70996886  -3.35897057   0.45387756
  4.68837202   3.61870262  -3.38083881   0.45387756
  4.76279063   3.55123745  -3.36433068   0.45387756
  4.83720923   3.50276616  -3.31493191   0.45387756
  4.91162783   3.55655477  -3.25260010   0.45387756
  4.98604644   3.69471657  -3.36157535   0.45387756
  5.06046504   3.63838152  -3.66998683   0.45387756
  5.13488364   3.26675090  -3.84640940   0.45387756
  5.20930225   2.88951445  -3.65819396   0.45387756
  5.28372085   2.82226759  -3.31805806   0.45387756
  5.35813946   2.98585903  -3.15762285   0.45387756
  5.43255806   3.10093196  -3.21102051   0.45387756
  5.50697666   3.08038382  -3.28420915   0.45387756
  5.58139527   3.04562419  -3.29947428   0.45387756
  5.65581387   3.03096246  -3.34488021   0.45387756
  5.73023247   2.94443536  -3.41025550   0.45387756
  5.80465108   2.82357976  -3.37965001   0.45387756
  5.87906968   2.81382923  -3.29644121   0.45387756
  5.95348828   2.88933067  -3.33181449   0.45387756
  6.02790689   2.87004784  -3.50147022   0.45387756
  6.10232549   2.68703669  -3.65162043   0.45387756
  6.17674409   2.42648127  -3.67901581   0.45387756
  6.25116270   2.17672822  -3.58346568   0.45387756
  6.32558130   2.00154158  -3.38913998   0.45387756
  6.39999990   1.95305356  -3.17534475   0.45387756
  6.47441851   1.96776897  -3.03861263   0.45387756
  6.54883711   1.94780673  -2.91886618   0.45387756
  6.62325572   1.99043799  -2.73105717   0.45387756
  6.69767432   2.18985183  -2.63723983   0.45387756
  6.77209292   2.32883854  -2.77028651   0.45387756
  6.84651153   2.22842430  -2.89088614   0.45387756
  6.92093013   2.12414147  -2.78833213   0.45387756
  6.99534873   2.24661251  -2.68799725   0.45387756
  7.06976734   2.38265109  -2.84783723   0.45387756
  7.14418594   2.23063767  -3.08469483   0.45387756
  7.21860454   1.90990056  -3.05352434   0.45387756
  7.29302315   1.77769894  -2.78120954   0.45387756
  7.36744175   1.90022427  -2.58459922   0.45387756
  7.44186035   2.05065355  -2.58948897   0.45387756
  7.51627896   2.09853589  -2.68441844   0.45387756
  7.59069756   2.04631717  -2.79032013   0.45387756
  7.66511616   1.88085416  -2.83349132   0.45387756
  7.73953477   1.70282824  -2.69067648   0.45387756
  7.81395337   1.73850421  -2.43366249   0.45387756
  7.88837198   1.99791080  -2.35853293   0.45387756
  7.96279058   2.17356896  -2.59280538   0.45387756
  8.03720918   2.02043398  -2.89021192   0.45387756
  8.11162779   1.66383074  -2.93344225   0.45387756
  8.18604639   1.41892295  -2.71196565   0.45387756
  8.26046499   1.39236074  -2.47645588   0.45387756
  8.33488360   1.41160793  -2.36433100   0.45387756
  8.40930220   1.35158555  -2.24911958   0.45387756
  8.48372080   1.32869648  -2.01732459   0.45387756
  8.55813941   1.46364674  -1.77886401   0.45387756
  8.63255801   1.67203275  -1.65822070   0.45387756
  8.70697661   1.85324951  -1.59704740   0.45387756
  8.78139522   2.07238683  -1.52853838   0.45387756
  8.85581382   2.40073716  -1.55103424   0.45387756
  8.93023243   2.73618199  -1.79550529   0.45387756
  9.00465103   2.88460590  -2.23219476   0.45387756
